user_id,product_id,product_title,category,features,click,sentiment,u_idx,i_idx,seq,price_scaled,category_encoded,color_encoded,material_encoded
AFC5DIXEBMZOEN5TBRW5MKJOU7AQ,B073S4PQ6H,"AMEITECH Makeup Organizer, 360 Degree Rotating Adjustable Cosmetic Storage Display Case with 8 Layers Large Capacity, Fits Jewelry, Makeup Brushes, Lipsticks and More, Clear Transparent",Beauty & Personal Care,"['Acrylic', ""★360 DEGREE ROTATING MAKEUP ORGANIZER: Perfectly organizes and stores your cosmetics and accessories. Easy access to all of your makeup products.It's a Perfect Christmas Gift for your friends, family members and any makeup lovers."", '★ADJUSTABLE & EASY TO INSTALL: Easy to be assembled and disassembled according to the User Manual, DIY the make up organizer and adjust the height of laminates as you like. Convenient to clean with Removable design and washable material.', '★LARGE CAPACITY: Measures 15inch in height and 10.3inch in diameter (base) when assembled.Accommodates at least 60 makeup brushes, 30 skincare products and other accessories including lipsticks, nail polish, eyeliner and more.', '★STURDY & SAVER: Holding various personal beauty items in the bathroom takes up less room and make your living area tidy.', '★BEST CUSTOMER SERVICE: Any problems, please contact us directly. We will definitely solve the problem for you in the first time and provide you with a 24-month warranty, buy with confidence.']",1,0.5719,6,3,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 3]",-0.20194952031845917,0,3,0
AE5VQBQIZDG4CNP4CZM5RNGM7KQA,B077QWW16F,MADDesign Mother of Pearl Compact Makeup Mirror Folding Magnify Butterfly Flowers Pink Yellow,Beauty & Personal Care,"['Round compact makeup double mirror with standard and 2.5 magnification for detail', 'Mother of pearl traditional Korean craftsmanship print onto sea shell sheet', 'Hand sized 2.8 inch (7cm) and thin (.9cm) portable easily fitting into a handbag or pocket', 'Durable lightweight 120 g metal case with glossy hard epoxy protective coating on image', 'Floral butterflies design pink yellow classic style']",1,0.796,1,5,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 5]",-0.4662656120292007,0,7,4
AG34ZGNRGA5Q4CYVAQYDZLOO4KNA,B07FDWBT49,"Tweezers for Eyebrows Set of Three- Includes Case with Professional Pointed Needle Nose, Slant & Straight Precision Stainless Steel- Ingrown Hair Nose, Hair Eyebrow & Splinters (Multi) (Multi)",Beauty & Personal Care,"['Unparalleled Precision: Our professional precision tweezers set is crafted with utmost precision, allowing you to effortlessly grab and control even the tiniest of hairs, splinters, or delicate objects with unmatched accuracy.', 'Ergonomic Design: Designed for comfort and ease of use, these tweezers feature a sleek, ergonomic design that fits perfectly in your hand, providing a steady grip and reducing hand fatigue during prolonged use.', 'Versatile and Multi-Purpose: From grooming eyebrows to handling electronics, our tweezers are versatile tools that cater to a wide range of tasks. They are perfect for precision grooming, first aid, crafting, and even professional use.', 'Superior Durability: Made from high-quality stainless steel, these tweezers are built to last. They are rust-resistant and withstand daily wear and tear, ensuring long-lasting performance and reliability.', 'Convenient Storage: Our tweezers come with a protective case, keeping them safe and organized when not in use. The compact and portable design makes them ideal for travel, allowing you to maintain your grooming routine wherever you go.']",1,0.8834,14,6,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 6]",-0.8304518788472648,0,6,8
AG4WF4HGFXLVQGSS6N4YW45BK7PA,B0C5KXH375,"Diane Processing Cap, 30 Count",Beauty & Personal Care,"['30-count', 'Ideal for perms, coloring and conditioning', 'Reusable', 'Regular fit, one size fits all', 'Soft elastic band']",1,0.0,15,19,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 19]",-0.932413575946364,0,10,3
AFVS7LQPLADQ7NSNZFJ36RMZX4CQ,B088NHQYSL,"Flex Paste, 3 lb Tub, Black, Waterproof Paintable Putty, Spackle Sealant, Fill Gaps Cracks Holes - Block Out Water and Air - UV Resistant - Walls, Drywall, EPDM, Concrete, Roof, RV Repairs",Tools & Home Improvement,"['Stop Leaks Fast', 'Clings to a wide variety of surfaces', 'UV and mildew resistant', 'Perfect for all types of indoor and outdoor projects and repairs']",1,0.0,12,10,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 10]",-0.14992291077302156,1,1,6
AFDO6EYILLRZ7SBMVZ7AOK4N2BFA,B07PRP1MH7,"Kohler 22169-SN Forte Showerhead, 2.5 GPM, Polished Nickel",Tools & Home Improvement,"['3-function sprayface includes Katalyst, massage and silk sprays', 'Shower arm not included- K-7397 is recommended', 'Matches the KOHLER Forte Collection', 'Thumb tab allows for a smooth transition between sprays', 'MasterClean spray nozzles prohibit mineral buildup for easy cleaning']",1,0.971,7,9,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 9]",2.203823650722335,1,8,5
AHES2ZDCKISVWA225KTR4S5CS3AQ,B06XDN29HT,"display4top 6 Pack Nail Polish Rack,15"" Acrylic Nail Polish Wall Mounted Organizer Displays 90 Bottles, Clear Floating Kids Wall Bookshelf",Beauty & Personal Care,"['Wall-Mounted Nail Polish Rack: Holds a variety of brand nail polishes to create a beautiful wall space, keep your nail polish and essential oil bottles organized.', ""Widely Used: It's not only used to store nail polish, but also for tattoo ink, fragrance oil, jewelry, lipstick, perfume. Perfect for kitchen spice rack, retail, bathroom, nursery, bedroom, office."", 'Easy to Access: Made of high quality acrylic material to provide maximum visibility for your nail polish collection, easy to find the color and bottle you need.', 'Six Piece Sets: Each wall mount is self-contained and includes accessory screws and anchors. Acrylic nail polish holder measures 15.75""Lx2.16""Wx2.16H"" and can hold 10-16 bottles.', '100% Satisfied Guarantee: If you have any questions about your clear nail polish organizer. Please contact the customer service, we will solve your problem within 24 hours.']",1,0.5994,19,2,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 2]",-0.3849576945988935,0,3,0
AEMTX242F3G5RLSG57GXZOPDZ7QQ,B076FYGZ7W,Cq acrylic Nail Polish Holder Organizer Clear Acrylic Nail Polish Tray Fingernail Polish Display case 5 layers 72 Bottles Essential Oils Holder Sunglasses Eyewear Organizer Display Case,Beauty & Personal Care,"['Professional quality acrylic nail polish rack with crystal clear shelves and railing to provide maximum visibility for your nail polish collection.', 'Each layer length 16.4inch, width 1.4inch, a total of 5 layers, Different bottle sizes can accommodate different quantities, please select according to size', '72 bottles of 5 layers （16.4*7.8*7.5 inch）', '5 tier hold up to 72 bottles of nail polish (actual number may vary based on size and shape of bottles). Clear acrylic railing to prevent the bottles from falling.', 'Damaged? Quality problems? You can click on a refund in Amazon, and will not waste a lot of your time, to ensure that you, a happy shopping mood']",1,0.8655,3,4,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 4]",-0.5418218439821229,0,11,0
AFSILZK6H7GL3IDNFIFN3JKA5A3A,B0BVV73F26,"Mr. Pumice Ultimate Pumi Bar, 2-in-1 Callus Remover, Pedicure Stone & Ped File Scrubber for Smooth Feet and Heels, Dual-Grit (Medium + Coarse), 1 Count",Beauty & Personal Care,"['FOR SOFT, SMOOTH FEET: Mr. Pumice is your go-to pedicure solution to remove unwanted calluses and tough skin for soft, healthy, smooth feet and heels, as well as hands and elbows', 'DUAL-GRIT FOR VERSATILITY: The two-sided Ultimate Pumi Bar offers both medium and coarse grit, making it the ultimate versatile tool for use all over your foot, as well as for different callus types', 'TRUSTED BY PROFESSIONALS: Mr. Pumice is the most asked-for foot care product by salon professionals, an established industry standard for its reliability and effectiveness', 'THE SANITARY SOLUTION: Mr. Pumice’s self-chipping material naturally erodes in tiny particles during use, preventing any unsanitary buildup—simply rinse the pumice under hot water to clean it', 'SUPERIOR TO STONE: Unlike stone, glass, and other materials, our custom frothed polyurethane synthetic pumice boasts a uniform structure for consistent effectiveness in removing dirt and tough calluses']",1,0.8555,10,17,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 17]",-0.9551588776069322,0,5,7
AGILWNVM2TBO3FDBIWL2GIBS2UTQ,B0B65VZBP9,"Cq acrylic Makeup Organizer Skin Care Large Clear Cosmetic Display Cases Stackable Storage Box With 6 Drawers For Vanity,Set of 3",Beauty & Personal Care,"['✅Makeup Organizer Size 9.5""L x 6"" W x 12.1""H, Consists of 3 independent organizers,Use individually or stack to save space on a vanity or in the bath', '✅With 6 drawers and 16 slots , Drawers of different sizes Meet the Storage of Palettes, Perfumes, Lipsticks, Lip glosses, nail polish, jewelry and make up brushes Moisturizers Masks Lotions Medicine Bottle', '✅You can also use the drawer alone, perfect under the bathroom sink to store cotton balls, q-tips, and lotion', '✅The transparent organizer of skin care products allows you to see more clearly what you need, and organize all your cosmetics and jewelry on a dazzling dressing table', '✅We produce and sell ourselves,We provide the best price,our team make the best service, the best use of acrylic, if quality and Transport damage problems can choose a replacement or refund, no problem, which is why it come with a 30-day satisfaction guarantee']",1,0.8999,16,16,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 16]",-0.2803815950100739,0,3,0
